month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,-4.09374525342916,-0,5741.39172724733
2,29,8,101.701138574463,-0,5494.96459411077
3,1,7,-74.8773147424539,-0,5503.07975915824
3,2,23,55.9449540153448,-0,5617.78537389271
3,3,20,172.596619555569,-0,5820.47359931905
3,4,33,160.691286173542,-0,5664.85757746529
3,5,77,221.9641439326,-0,5622.63298302563
3,6,53,302.046094280067,-0,5982.19573674715
3,7,166,567.912388857593,-0,6238.49111645339
3,8,116,616.606092194843,-0,6315.35393851035
3,9,75,842.758114362982,-0,6469.86169533625
3,10,188,1218.03813195476,-0,6773.2169071548
3,11,368,1440.82483195765,-0,7262.96144524877
3,12,440,1849.54137948389,-0,7555.32117310205
3,13,633,2344.98880878117,-0,7754.83473222377
3,14,765,2893.75113688272,-0,8446.51281527413
3,15,244,3619.39762394619,-0,9328.06908920244
3,16,1458,4029.09600067025,-0,9813.58510298916
3,17,1842,5125.01674184351,-0,10898.8911459911
3,18,2661,5974.71252096016,440.725044037624,11875.6725877342
3,19,4495,6931.8909359732,1186.13956571647,12673.0534297466
3,20,6374,8301.52814375785,2686.73675295363,13885.5845556729
3,21,6009,9421.22286576522,3788.40621259044,15053.7169005676
3,22,8826,10604.8128305313,5165.44333064623,16262.3432702342
3,23,11238,12172.7146740449,6467.86353526607,17850.0564351326
3,24,10619,13694.2590904692,8187.8785132202,19524.1988975646
3,25,12082,15205.0377727155,9556.769728192,20927.3762583802
3,26,17856,16798.4732479757,11084.2855003375,22508.4204035886
3,27,18690,18496.352551257,12674.7831982091,24150.2275010505
3,28,19630,19965.2015055094,14159.4186795307,25742.5330791182
3,29,18899,21694.4587006253,15716.8978608055,27298.50962738
3,30,22075,23095.3550496255,16915.7706461714,28925.8712012441
3,31,26314,24525.7343923976,18338.678041707,30254.1369065397
4,1,32259,25758.3037749404,19998.8512962394,31280.4223475492
4,2,32232,26966.5028585364,20955.0100421586,32781.4970790563
4,3,32295,27906.6537345308,21982.1051970975,33603.0491771308
4,4,32390,28709.268671494,22541.6371415969,34729.8913228369
4,5,29877,29547.4145473359,23419.0590384822,35442.3537314976
4,6,31393,29949.464411796,24282.8438390853,35928.445568245
4,7,30769,30413.9207724707,24528.1268598919,36165.3419421184
4,8,31215,30760.489333319,25062.5156197365,36379.9941855827
4,9,35936,30886.2640094716,25133.8631291074,36426.5283261909
4,10,34414,31075.7350626703,25374.6608961065,36722.3300872504
4,11,29102,31098.2651404867,25178.248052919,36563.7920918006
4,12,27257,31034.4516986701,25565.5566794006,36928.8257495105
4,13,26940,30926.6221703538,25068.8344790079,36727.5462708085
4,14,28825,30762.3046853868,25093.4890515495,36939.6452456752
4,15,25406,30620.8267433507,24801.2748255847,36658.234396764
4,16,30015,30547.8479717437,24715.8217112589,36568.3006325879
4,17,33030,30507.5826236656,24441.7307674043,36681.0534060245
4,18,27932,30289.6756857312,24410.9986240498,36414.2406164001
4,19,26096,30263.1367860112,23992.2927755208,36207.2177183845
4,20,29828,30003.4717649679,24032.4963122033,36049.7278198613
4,21,25917,29742.0016791399,24071.285395988,35847.6714450366
4,22,28859,29661.970773551,24056.7546917305,35460.7954897855
4,23,33570,29322.8513020204,23773.3420485242,35500.2831797307
4,24,32327,29201.7806003472,23335.0926512401,34883.2554583633
4,25,30396,28893.6509383305,23012.9739223097,34769.3855475485
4,26,26501,28733.7486027212,22994.6075818763,34462.5332062678
4,27,23703,28578.7184693383,22752.4677408157,34092.9434839473
4,28,24577,28305.7632038866,22544.724974677,34342.5099738442
4,29,26438,27932.2399476313,22029.3559036293,33681.0679923263
4,30,29220,27635.0156849592,21650.7099500154,33628.6197798194
5,1,34926,27363.3270840473,21490.0557519116,33183.9043501383
5,2,27350,27063.2472959127,21062.7591790861,32803.1860973146
5,3,24297,26706.9524472007,20883.6072584277,32487.5508684708
