month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,-2.96417495357161,-0,5525.20866155423
2,29,8,100.888113822524,-0,5901.89816310437
3,1,7,68.5754805425734,-0,5632.47466534193
3,2,23,88.3364649149115,-0,5557.78546141141
3,3,20,185.231513615764,-0,5593.72306857477
3,4,33,272.590323377241,-0,5685.13561109355
3,5,77,176.032305024102,-0,5633.01526598395
3,6,53,382.516540605686,-0,5946.32861806449
3,7,166,612.856088952379,-0,6088.91447349441
3,8,116,625.522473730041,-0,6464.1013373475
3,9,75,886.724503662723,-0,6584.11879169944
3,10,188,1198.77189015231,-0,6696.92258923555
3,11,368,1606.29912512208,-0,7192.10584021073
3,12,440,1878.91814600477,-0,7775.95178985428
3,13,633,2442.20601951512,-0,7773.26883394677
3,14,765,2989.31084132855,-0,8543.58509345464
3,15,244,3714.91065004943,-0,9608.31522784329
3,16,1458,4184.8411491524,-0,10115.5827834823
3,17,1842,5207.99544194185,-0,10785.3589521641
3,18,2661,6128.04833257058,717.837166529822,11760.2137447472
3,19,4495,7140.93355113539,1581.71095757409,12691.6469263516
3,20,6374,8347.4464060144,2672.10149316514,13868.5357070243
3,21,6009,9511.71006180893,3720.60329836851,14975.7377402952
3,22,8826,10660.9649520078,5008.91098900886,16396.2250112943
3,23,11238,12285.3551428911,6457.11555148769,17850.9410401047
3,24,10619,13755.8686441695,8212.11261784531,19626.2845483949
3,25,12082,15220.1987704341,9827.24265870492,21243.1890749972
3,26,17856,16776.089292016,11310.3257096607,22509.1064155533
3,27,18690,18559.0530423294,12897.9387849102,24211.947270373
3,28,19630,20124.9030788462,14155.799218922,25729.5288184841
3,29,18899,21732.5765999558,15797.8677180962,27446.6810597539
3,30,22075,23142.3428922369,17461.2124628563,28775.1978927836
3,31,26314,24553.4140612442,18720.2472183309,30111.3506176727
4,1,32259,25845.1355109137,20246.5877585079,31406.9759083516
4,2,32232,27145.2941328598,21310.9581351095,32635.3590125623
4,3,32295,28004.0165628145,22384.8191824806,33919.7318822267
4,4,32390,29031.0335690363,23038.2506730254,34900.8380326127
4,5,29877,29860.5530320893,24153.6683600057,35632.5653972673
4,6,31393,30266.2313005122,24161.1043660014,35906.4046581217
4,7,30769,30742.7404023137,24709.348499661,36467.198487035
4,8,31215,30937.7967883607,25353.6876815461,36474.0913849494
4,9,35936,31090.5151921619,25340.3279938591,36971.4186387175
4,10,34414,31124.7741593794,25251.7621672221,36948.8048063274
4,11,29102,31138.2719979579,25528.3551358427,36567.8668092344
4,12,27257,31177.0765456329,25348.3237886043,36767.4262381642
4,13,26940,30808.0953059005,25388.1470860961,36808.3205119848
4,14,28825,30769.9264411659,25019.0926908465,36820.3223644234
4,15,25406,30475.8786839875,24546.4474779072,36632.032358425
4,16,30015,30308.7704124626,24424.7150852069,36431.6632527215
4,17,33030,30135.0914318512,24334.039004853,36552.0952253741
4,18,27932,29922.127845165,23977.3658287705,36269.5319401344
4,19,26096,29850.8033201975,23788.7709330538,36021.8873421184
