i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,2099.63608613701,6469566.08438549,100,1309.64422735803
2,17850.609884902,327680029.536474,0,15076.827697356
3,6647.81740252116,51130658.5943882,33.3333333333333,5196.73759121988
4,17812.6344431433,325875762.482868,0,14676.6754162651
