i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,2374.6587855997,8161009.52263341,96.6666666666667,1484.15125286229
2,2930.35549781925,12324765.7316173,90,1783.40305055785
3,3423.33838991155,17226880.1115719,83.3333333333333,2257.86227230224
4,5096.37261404155,33261545.1486098,60,3399.21722039882
