month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,110.006176819622,-0,6223.94428349616
2,29,8,-47.1708887712762,-0,6112.74729760882
3,1,7,61.2928985354656,-0,6233.71173551687
3,2,23,146.189114862621,-0,6482.831198768
3,3,20,136.906693241577,-0,6358.5258013785
3,4,33,232.338160996354,-0,6643.63258422697
3,5,77,393.405260083291,-0,6489.88530541085
3,6,53,671.766988068141,-0,6774.44865126095
3,7,166,748.218692630225,-0,6947.05064713271
3,8,116,988.801967086166,-0,7199.69574677546
3,9,75,1216.42765922462,-0,7407.58503350636
3,10,188,1609.34647412174,-0,7856.60127635848
3,11,368,1932.1751839912,-0,8394.97626861355
3,12,440,2363.18028182366,-0,8915.86041145537
3,13,633,2894.74257580084,-0,9133.99756616007
3,14,765,3509.10395961162,-0,9851.60565986584
3,15,244,4252.53127509619,-0,10539.1399861768
3,16,1458,4930.41354686337,-0,11382.1637182627
3,17,1842,5876.77589671701,-0,12167.277905469
3,18,2661,6664.4552147689,496.416253889881,13263.7514389986
3,19,4495,7898.20889515393,1416.34488806108,14225.5286676137
3,20,6374,8901.26413864854,2550.29205572689,15344.2249885338
3,21,6009,10118.3420381627,3772.985514228,16773.7684927161
3,22,8826,11392.8315114663,4909.3253517989,17692.4225735894
3,23,11238,12722.8323131213,6297.19371341125,19249.4557961113
3,24,10619,14015.6017230967,7551.33133040814,20383.8958331468
3,25,12082,15500.6960302495,9283.39992361886,22031.0323244347
3,26,17856,17012.1795021397,10288.3185341036,23377.2835501064
3,27,18690,18505.6107290474,11953.1806688611,24907.805313202
3,28,19630,19965.8115783052,13732.9207030129,26657.5014886934
3,29,18899,21501.1960267996,14965.6498051269,27806.0451906153
3,30,22075,22936.9756678896,16436.8581158912,29253.1719503181
3,31,26314,24265.4984991321,17737.3314066701,30721.5084687809
4,1,32259,25620.4396074872,19208.2076280485,32055.5480900397
4,2,32232,26637.770187483,20217.1181648141,33272.778984368
4,3,32295,27643.8995885075,21160.6373520709,34260.1673811089
4,4,32390,28767.4448829867,22350.5189139099,35306.9744723351
4,5,29877,29426.1980928613,23021.5980321454,36394.1839053703
4,6,31393,30061.6849374472,23572.2375367224,37111.9973324582
4,7,30769,30627.3416560268,24365.997645542,37555.0231320437
4,8,31215,31009.259900569,24612.7493712303,38009.5164925207
4,9,35936,31248.134434126,24757.9429507537,38518.2701143195
4,10,34414,31428.0617813415,24856.0212629054,38437.7765422108
4,11,29102,31495.6297240157,25101.5939245243,38533.5302721086
4,12,27257,31531.1193672908,25010.7892849349,38243.4870425322
4,13,26940,31320.0217280215,24974.5850871545,38279.650595372
4,14,28825,31162.4934109407,24639.1234919966,37813.2108401417
4,15,25406,30947.7611233143,24290.415977369,37517.3129306354
4,16,30015,30585.5451719416,23982.191071894,37192.1007123963
4,17,33030,30231.3724983747,23710.7562746876,36623.2593838693
4,18,27932,29980.4220404906,23294.6624355442,36222.5176129883
4,19,26096,29489.2007843497,22587.5792675617,35946.6602894041
4,20,29828,29058.2037984763,22039.802742235,35523.9101626951
4,21,25917,28822.610213901,21535.4471325099,35267.7513954219
4,22,28859,28322.2389639757,21210.828681202,34874.602454773
4,23,33570,27997.320132817,20510.9145811166,34591.9732621807
4,24,32327,27625.9572191264,20241.858292932,34327.7839709626
4,25,30396,27252.7031541975,19402.2196703345,33936.940454279
4,26,26501,26893.3705871245,19100.9506740128,33695.0025335589
4,27,23703,26484.5746580118,18385.0401553523,33353.7361562165
4,28,24577,26102.4848877105,17672.6063410381,33166.2739946008
4,29,26438,25813.5410648747,16931.1634855853,33134.6964580128
4,30,29220,25501.012142224,16697.7164811526,32785.2089316276
5,1,34926,24921.9735500856,15649.5246531995,32488.5046006015
5,2,27350,24570.6016422589,14591.5840051955,32270.1322763392
5,3,24297,24038.3826410462,13768.485683182,32092.6902311243
5,4,24085,23503.7719519676,12858.2066595501,31376.2069032781
5,5,24531,22895.7411772402,12126.6407448993,31191.1733286471
5,6,24560,22415.802404132,11169.8201893612,30700.2232272105
5,7,27411,21784.4135370902,9602.4668413057,30445.966330164
5,8,26839,21226.9461615254,9081.93036516369,29882.8824606701
5,9,25136,20353.3220226293,8138.74043749489,29364.3364137029
5,10,18867,19612.7713744382,7010.09126782719,28925.5565380828
5,11,19271,18643.5745530086,6053.64684683247,28640.9036231786
5,12,NaN,17830.9894955846,5164.99884325188,28173.1005477324
5,13,NaN,16985.3402853791,4462.05530812272,28070.5453184798
5,14,NaN,16218.2605944811,3683.96304927879,27510.2510389648
5,15,NaN,15310.0923154862,3059.28918752318,27255.4472378389
5,16,NaN,14693.3429377234,2136.43709748905,26818.4758527032
5,17,NaN,14216.3359746578,1568.28266564297,26801.017388611
5,18,NaN,13406.7473456917,812.009731427358,26569.3066014302
5,19,NaN,12919.2946666796,178.904597877168,26488.8655195342
5,20,NaN,12540.9370333456,-0,26498.3387782956
5,21,NaN,12129.7744595028,-0,26093.5707647
5,22,NaN,11822.4769236098,-0,26301.735335876
5,23,NaN,11710.0742081962,-0,26042.5964733686
5,24,NaN,11594.3465246453,-0,25652.7852663997
5,25,NaN,11550.8537554989,-0,25781.5925060494
5,26,NaN,11648.0245526352,-0,25322.5658537999
5,27,NaN,11561.0404379989,-0,25371.3451894093
5,28,NaN,11621.1548328574,-0,25197.5499185211
5,29,NaN,11671.9930186961,-0,24823.9449590682
5,30,NaN,11689.5847813309,-0,24414.551553
5,31,NaN,11490.1484969478,-0,24205.9159923364
6,1,NaN,11507.5033486967,-0,24172.5089358243
6,2,NaN,11177.0600583666,-0,23676.9273970791
6,3,NaN,11152.3356413261,-0,23419.5705642011
6,4,NaN,10823.5756154174,-0,23268.5532505556
6,5,NaN,10378.364397967,-0,23261.359848664
6,6,NaN,10210.0024058813,-0,23063.8508589176
6,7,NaN,9584.03907355028,-0,23471.6620652561
6,8,NaN,9102.04763178032,-0,23198.7880259591
6,9,NaN,8557.32913286584,-0,22938.4765425028
6,10,NaN,8196.44682334549,-0,23072.3063026955
