i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,1745.41038860186,5595982.8816891,93.3333333333333,1125.51185004976
2,1975.13396036815,6423221.73661913,97.3333333333333,1230.8128851579
3,2133.83516365718,7124342.26866282,96,1308.18607078875
4,2114.09063111658,7095703.3364464,94.6666666666667,1296.42549544703
