i_th-ranked model,r mean,r LB,r UB,p mean,p LB,p UB,a mean,a LB,a UB,K0 mean,K0 LB,K0 UB
1,1.32443703237033,1.2147680415716,1.37563116784287,0.823282780259979,0.81881225761924,0.83252452802659,1,1,1,700639.864064691,631259.813626393,746986.726194649
2,1.82810809382134,1.30796881847911,2.76079041565795,0.788790968321616,0.747504621402319,0.819384386510955,1,1,1,1168870.1456903,1061289.27989251,1275896.19207885
3,1.9157916782281,1.86697594794268,2.45810238831482,0.782857520409893,0.759508948808775,0.786994205890261,1,1,1,1092368.47234531,1061440.17359178,1117863.59100462
4,2.0799758653182,1.43581352629445,3.05192998694834,0.776172373190888,0.735446484486464,0.810790678715247,1,1,1,1172583.47755481,1073123.88231525,1277926.67677665
