i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,2221.59471347218,8060749.12312071,94.6666666666667,1367.63856411366
2,2568.23149946004,11015671.0699662,97.3333333333333,1588.61424566358
3,2337.54121974053,8571176.86223195,97.3333333333333,1437.73742444077
4,2620.15108258434,11469553.5783056,96,1626.85868900055
