Ensemble(i) model,MAE,MSE,Coverage 95%PI,WIS
1,17378.9015322993,312127992.003673,96.6666666666667,6279.3811850378
2,6647.81740252116,51130658.5943882,96.6666666666667,5400.60382456713
3,16887.0989803684,295618956.923746,90,7165.07931015202
