i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,2231.88392077739,7911424.97601418,97.3333333333333,1353.10085388472
2,2519.38762079987,10881136.989257,94.6666666666667,1596.39215074475
3,2318.57322940194,8344681.21137192,97.3333333333333,1433.68970781827
4,2601.97138995557,11359944.731524,94.6666666666667,1629.54484290676
