i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,2110.74505266936,6463912.2593251,100,1305.67502615108
2,17769.3018644762,325036776.616803,0,14962.522854724
3,6647.81740252116,51130658.5943882,33.3333333333333,5216.2977088636
4,17791.1404581822,325104854.312469,0,14830.9760180215
