i_th-ranked model,r mean,r LB,r UB,p mean,p LB,p UB,a mean,a LB,a UB,K0 mean,K0 LB,K0 UB
1,1.33019729666642,1.23686698234427,1.37959733166223,0.822787797993815,0.818112749221564,0.831188228333423,1,1,1,701052.602792201,638641.082324594,745836.108334567
2,1.77670716533795,1.3023635391906,2.39647091173495,0.790861751478268,0.759197101808588,0.81933433187335,1,1,1,1168653.31433736,1087964.41131898,1294651.56409094
3,1.9037762751777,1.81400279250433,2.17666990089605,0.783307348412252,0.769840451654866,0.789382629469083,1,1,1,1091500.67595849,1061171.75860639,1116991.62599653
4,2.07390811884751,1.34352886787646,3.12460015853465,0.776983686508258,0.732356631986555,0.818360723751643,1,1,1,1171582.871279,1051275.11314127,1285756.88495932
