i_th-ranked model,r mean,r LB,r UB,p mean,p LB,p UB,a mean,a LB,a UB,K0 mean,K0 LB,K0 UB
1,0.822378902951404,0.770430567958213,0.866874187805492,0.874015130601408,0.868172360774067,0.881009007365183,1,1,1,749870.761920438,749598.782288237,750367.799921538
2,1.26084208089122,1.2056153262117,1.41573390888098,0.82727308418997,0.817178793254026,0.830293048068023,1,1,1,890420.612059826,856813.523013206,929834.146809755
3,1.51205078943767,1.45863774773967,1.58595567201765,0.807617268040135,0.801959960962148,0.808865315215407,1,1,1,999669.738762526,950519.81261778,1020860.65221264
4,1.49810513873435,1.39018846907691,1.84347127384874,0.808524861056871,0.788646061677217,0.816188244323388,1,1,1,1042601.41754543,991151.719171892,1091722.57498939
