i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,2792.97340202702,12255262.1815076,93.3333333333333,1704.18031274519
2,2815.81470731084,12419357.2396535,93.3333333333333,1734.84616136315
3,4288.50776896189,35825587.3178269,93.3333333333333,2853.35782679853
4,3463.18924243763,21924261.0310652,92,2245.40975202748
