month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,128.406832839016,-0,6703.43380511197
2,29,8,-82.7028559111566,-0,6516.62528920226
3,1,7,183.755125024598,-0,6747.55510465485
3,2,23,163.693081484148,-0,6616.03273635696
3,3,20,214.489203762793,-0,6751.16150165402
3,4,33,342.421737150952,-0,6829.82585262042
3,5,77,463.000713940489,-0,7178.83629352814
3,6,53,632.229767025328,-0,7142.70437468498
3,7,166,806.485190740833,-0,7581.60197925333
3,8,116,1047.5839427063,-0,7798.82409688903
3,9,75,1238.20708659366,-0,8126.43345609758
3,10,188,1633.52096670562,-0,8249.47767623695
3,11,368,1940.45761417595,-0,8599.49333506253
3,12,440,2453.34232565767,-0,9069.88505261333
3,13,633,2960.68399533775,-0,9751.45042077045
3,14,765,3626.88042491755,-0,10472.4731795382
3,15,244,4231.64285305343,-0,11201.2628896141
3,16,1458,5009.49543295966,-0,11644.7733348565
3,17,1842,5948.61582959322,-0,12761.0163199751
3,18,2661,6745.68953388415,-0,13906.9133161582
3,19,4495,7868.35709029262,869.200354151801,14787.1042441141
3,20,6374,8860.20193450648,1970.58076915074,15806.0051604035
3,21,6009,9999.48996490799,3184.27480616099,17236.4788785211
3,22,8826,11268.7623822988,4259.23233213158,18538.4154292835
3,23,11238,12641.37441576,5462.23114884671,19715.5871274687
3,24,10619,14097.323559658,7152.88870417582,21036.5238705219
3,25,12082,15400.5956312751,8221.05122589149,22493.948894595
3,26,17856,16972.9642774881,10024.8965368801,23737.2097919106
3,27,18690,18461.4901180989,11305.2565878829,25569.6147738353
3,28,19630,19963.2238516563,12945.1619805349,26997.5529660934
3,29,18899,21472.5659726768,14540.7839144902,28450.7338794692
3,30,22075,23017.7947450198,16057.4079832755,30135.0055494705
3,31,26314,24347.7681874601,17264.7201180435,31429.978855682
4,1,32259,25830.7762890363,18805.7803876336,32898.9382487781
4,2,32232,27140.7389801209,20024.2927053867,34240.3056099763
4,3,32295,28230.7365953252,21011.3549184553,35406.428922557
4,4,32390,29278.5015032206,22074.6954712662,36487.338199337
4,5,29877,30300.215753313,23101.1304010403,37385.0689799127
4,6,31393,30982.0600146653,23577.5594667209,38323.6641361097
4,7,30769,31604.2345815484,24452.125049453,39009.3981606709
4,8,31215,32013.8076388024,24503.0329567557,39143.4374920305
4,9,35936,32394.3488892778,24924.8790960336,39560.2913282586
4,10,34414,32531.0538731222,25273.1753409596,39865.4702122166
4,11,29102,32400.3059696704,25168.8648437501,39919.9974758946
4,12,27257,32439.6935387797,24958.1631072245,39654.1888751859
4,13,26940,32019.4965930952,24828.6010709822,39269.4428696903
4,14,28825,31825.347409233,24443.8939099611,39002.2808456574
4,15,25406,31390.3483096816,24204.3571336544,38601.9085543553
4,16,30015,30734.0546177623,23590.52533177,37657.5156594144
4,17,33030,30237.9599979964,22963.7042668306,37267.6853309313
4,18,27932,29535.1738673021,22446.0423994465,36544.5321392563
4,19,26096,29020.0103187706,21710.8562655187,36001.3077867011
4,20,29828,28382.2885077039,21528.1620462611,35453.3954301079
4,21,25917,27722.759602631,20737.3229088895,34595.1876720551
4,22,28859,27161.9170890593,20060.2788737812,33980.1465530576
4,23,33570,26418.6887167076,19424.694949485,33428.0445567543
4,24,32327,25977.5738421273,18586.8241382399,32841.3622708967
4,25,30396,25189.7136332156,18162.0903559955,32072.5390134965
4,26,26501,24637.5417396573,17711.6601709939,31425.4625652549
4,27,23703,23999.6810207404,17089.4082046509,30930.1289550014
4,28,24577,23284.263653446,16441.2051665636,30145.2260945869
4,29,26438,22622.1835770566,15453.1355020743,29511.1338861649
4,30,29220,21809.7295057354,14721.1548337176,28848.3985631644
5,1,34926,21042.0865334478,13978.9820988915,28195.7172231663
5,2,27350,20247.4181279829,13319.7022774688,27163.9389745807
5,3,24297,19390.0901595767,12235.0583357265,26450.6453791914
5,4,24085,18445.4402327076,11352.3315182159,25477.1307954897
5,5,24531,17524.7375587481,10540.0397334077,24653.3549621521
5,6,24560,16644.0136457173,9434.42811201703,23883.3558415481
5,7,27411,15604.7950970359,8330.17941766825,22753.6575162441
5,8,26839,14660.9423705416,7287.28353349163,21723.6055692534
5,9,25136,13568.4038807742,6443.25690244958,21030.7356693896
5,10,18867,12544.0936218958,5281.58507193307,19885.3501309037
5,11,19271,11725.3428553943,4479.77604057741,18957.7152055309
5,12,22948,10781.0241206612,3779.17887080226,18068.5685722692
5,13,20408,9892.31646542194,2599.49296979183,17306.782059242
5,14,26818,9113.9722962026,1966.34414587203,16321.5535086857
5,15,24747,8391.10675257369,1245.4756467045,15573.4716713931
5,16,24159,7578.4434018429,460.934722898955,14695.569462614
5,17,18363,6899.97052936077,-0,14174.9384458056
5,18,22390,6253.95433588025,-0,13397.688528932
5,19,21007,5693.58863032259,-0,12665.5642537809
5,20,22697,5074.15411077601,-0,11943.8004801758
5,21,25766,4749.78966547453,-0,11705.9747440097
5,22,23657,4355.73387172913,-0,11343.4786323689
5,23,21111,3808.35992679844,-0,10620.4135678501
5,24,20067,3323.26540261905,-0,10220.7669702682
5,25,18673,3135.65142555324,-0,9747.59081524193
5,26,19650,2803.10422521026,-0,9544.27716869169
5,27,18549,2598.76504750259,-0,9380.96133173577
5,28,22322,2256.13673878132,-0,9103.03479005869
5,29,24473,2061.84160264817,-0,8768.99612647367
5,30,23633,1900.35595781871,-0,8585.04004144206
5,31,18987,1704.07083016038,-0,8361.71186951839
6,1,17436,1572.9137031929,-0,8309.45671575581
6,2,21502,1342.21328169294,-0,7900.23670491779
6,3,19855,1218.47413039348,-0,7982.69634905402
6,4,21639,1092.74512564422,-0,7793.3501369351
6,5,25400,1074.87140099239,-0,7908.7101524252
6,6,21160,881.612710095226,-0,7538.73908688593
6,7,17916,796.744942520458,-0,7500.13048554832
6,8,17637,697.929455990715,-0,7562.98598679553
6,9,18384,652.674342829147,-0,7692.77950068673
6,10,21110,730.890027019269,-0,7556.11395358512
