Ensemble(i) model,MAE,MSE,Coverage 95%PI,WIS
2,17398.4303403176,313068142.357675,96.6666666666667,6322.97618397006
3,6647.81740252116,51130658.5943882,96.6666666666667,5425.15795534001
4,16933.3851696489,297049629.341039,86.6666666666667,7128.33712032814
