i_th-ranked model,r mean,r LB,r UB,p mean,p LB,p UB,a mean,a LB,a UB,K0 mean,K0 LB,K0 UB
1,1.85151913919938,1.39987134467475,2.76929996509994,0.753886187459901,0.702095133889014,0.785765314269907,1,1,1,1193817.95133482,675880.101124068,1445850.77789165
2,2.03052193041519,1.58781270000784,2.63941115581359,0.749187820048926,0.71995376300491,0.77365899786124,1,1,1,1323313.4467513,1185215.50928559,1480573.33261625
3,2.68117048572326,1.427728233808,5.32686374984409,0.722627038581292,0.636089570334316,0.786049959447406,1,1,1,1255122.78201095,566202.984472297,1761762.05148118
4,3.16769924558711,2.01569327521473,5.27554667813183,0.710448906891985,0.653794213945418,0.756135705561096,1,1,1,1307765.66490898,849475.62162856,1701875.57288008
