Ensemble(i) model,MAE,MSE,Coverage 95%PI,WIS
1,2060.03865115659,5894421.50604184,100,1298.20592158877
2,2603.9600915652,9809434.53565436,100,1433.49608046827
3,3007.74064415293,13354170.4306004,100,1673.83423999306
