month,day,data,median,LB,UB
2,27,17,17,17,17
2,28,0,-22.610044629222,-0,5270.13479854836
2,29,8,43.0662309469272,-0,5623.17020226534
3,1,7,26.8008888588717,-0,5669.13263048174
3,2,23,110.724005475462,-0,5415.10955083626
3,3,20,172.557180327077,-0,5423.48417381322
3,4,33,272.894946868016,-0,5648.18788760034
3,5,77,276.898832463564,-0,6021.18638983111
3,6,53,359.626698584658,-0,5912.37185235142
3,7,166,703.444874060317,-0,5873.73073481257
3,8,116,875.949182006169,-0,6315.0097808879
3,9,75,1099.66190316324,-0,6755.69702507949
3,10,188,1510.19010263031,-0,6825.15819619807
3,11,368,1560.287699953,-0,7153.67072470685
3,12,440,2168.48636338796,-0,7605.60728231917
3,13,633,2535.4606161211,-0,8277.63180788686
3,14,765,3187.86909714236,-0,8724.41766401649
3,15,244,3839.9015338612,-0,9123.42618250317
3,16,1458,4470.13576764474,-0,10235.046480569
3,17,1842,5384.1375905158,-0,10710.3310465491
3,18,2661,6261.99198260463,423.677643509552,11805.6855318645
3,19,4495,7191.26267554473,1712.53775531761,12740.7520229094
3,20,6374,8339.66967173679,2903.41963330141,13870.5873697332
3,21,6009,9638.44756276994,4070.57876859264,15290.5565360152
3,22,8826,10885.2172628042,5484.53284512387,16639.585952306
3,23,11238,12352.3919933388,6873.1627541583,17853.6163132206
3,24,10619,13865.2065427079,8231.4419410063,19566.58313701
3,25,12082,15449.5601537057,9840.56310426146,20755.2265254168
3,26,17856,17030.3874176998,11239.5871796811,22690.5658212068
3,27,18690,18478.573968071,13120.6998410801,23953.8642332285
3,28,19630,20224.367861862,14710.2333506749,26103.8141132246
3,29,18899,21985.2620538621,16265.7638049614,27463.6521570351
3,30,22075,23387.6303567794,17565.4809626465,28695.4227258647
3,31,26314,24928.2878645709,19261.5031733703,30805.3484789107
4,1,32259,26386.3523846812,20684.3626301877,32193.0599648148
4,2,32232,27613.5053293854,21865.3706496916,33422.7156558556
4,3,32295,28859.7217444842,23217.7653658012,34412.5836065418
